feat,model,nf,R2,RMSE,fold_sd
[1사이클] RF3+순서,Ridge(a=0.1),4,0.8553638151647743,0.15049298773322664,0.03376322851567986
[1사이클] RF3+순서,RidgeCV,4,0.8547598957277306,0.1508068475264838,0.03484558675150815
[1사이클] RF3+순서,LassoCV,4,0.8550873557942016,0.15063674613821817,0.03373428613604774
[1사이클] RF3+순서,ElasticNetCV,4,0.8550770851061975,0.1506420842355855,0.03380821587125508
[1사이클] RF3+순서,PLS(k=1),4,0.8025092730835962,0.17585354989227872,0.03217640830587007
[1사이클] RF3+순서,PLS(k=2),4,0.7972759614686726,0.17816828933694662,0.04284480550858875
[1사이클] RF3+순서,PLS(k=3),4,0.8224279776293715,0.16674969797188413,0.04415954818412798
[1사이클] RF3+순서,GPR-RBF,4,0.8624347189873888,0.146768280218177,0.05009544349174814
[1사이클] RF3+순서,GPR-Matern,4,0.8775111671005446,0.13849242946316653,0.04960907647690182
[1사이클] RF3+순서,SVR-RBF,4,0.8334552416213687,0.16148912073087643,0.0510173885312142
[1사이클] RF3+순서,RandomForest,4,0.8479973332010253,0.15427778296239966,0.046983999062198974
[1사이클] RF3+순서,GBR,4,0.837687066464285,0.15942423768097871,0.055946062353633856
[1사이클] RF3+순서,"MLP(32,16)",4,-6.311809712736271,1.070015886688515,0.4951865285082385
[1사이클] RF3만,Ridge(a=0.1),3,-0.035382285496703414,0.40265041464891166,0.08968835521831071
[1사이클] RF3만,RidgeCV,3,-0.022299002232115006,0.4000983441182421,0.08621133591306354
[1사이클] RF3만,LassoCV,3,-0.035520883366139566,0.40267736344981303,0.0860921213154031
[1사이클] RF3만,ElasticNetCV,3,-0.035275997068610065,0.4026297468344017,0.08608014038229632
[1사이클] RF3만,PLS(k=1),3,-0.013577380774155268,0.39838799284626436,0.08146576322194883
[1사이클] RF3만,PLS(k=2),3,-0.024274225161020402,0.4004846802369015,0.085928350543003
[1사이클] RF3만,PLS(k=3),3,-0.03571625132908829,0.4027153474959238,0.08977303375543974
[1사이클] RF3만,GPR-RBF,3,0.1429529413586237,0.36633643932740895,0.08349860788447015
[1사이클] RF3만,GPR-Matern,3,0.133009629704414,0.36845539709101216,0.08502878047311516
[1사이클] RF3만,SVR-RBF,3,-0.25960875116398774,0.44411518243770465,0.06788719407567985
[1사이클] RF3만,RandomForest,3,0.029187894845822626,0.3898929451477988,0.08675048420400584
[1사이클] RF3만,GBR,3,-0.29500912942752744,0.4503127053611028,0.09531764069205213
[1사이클] RF3만,"MLP(32,16)",3,-13.894668176738515,1.5271904574681883,0.8695849913593456
[전공정] RF3+순서,Ridge(a=0.1),4,0.8867118637291754,0.1331895039997156,0.026970243877377443
[전공정] RF3+순서,RidgeCV,4,0.8865789210744766,0.13326762945592963,0.02638960199297399
[전공정] RF3+순서,LassoCV,4,0.886264571506984,0.133452179081095,0.026804763666895094
[전공정] RF3+순서,ElasticNetCV,4,0.8858882516888321,0.13367277536902678,0.026702535521776073
[전공정] RF3+순서,PLS(k=1),4,0.765137946820632,0.1917715648572325,0.0415797891467354
[전공정] RF3+순서,PLS(k=2),4,0.8674440224810189,0.14407128968548266,0.03793645831170077
[전공정] RF3+순서,PLS(k=3),4,0.8949644871428488,0.12824660162333631,0.025004433330183144
[전공정] RF3+순서,GPR-RBF,4,0.9021762452635159,0.12376559943712474,0.03776978428855066
[전공정] RF3+순서,GPR-Matern,4,0.9057975765862598,0.12145316121618199,0.03833335642381776
[전공정] RF3+순서,SVR-RBF,4,0.8603376225398885,0.14788274415672145,0.04473275756614766
[전공정] RF3+순서,RandomForest,4,0.8329744089936565,0.1617220709430504,0.04532001652028652
[전공정] RF3+순서,GBR,4,0.8396785421850769,0.15844320258919745,0.05041675822559987
[전공정] RF3+순서,"MLP(32,16)",4,-173.64496653902367,5.2294476785040676,4.390665465681255
